Time (POSIX),Time (ISO),Temperature (c),Relative Humidity (%)
"1366764680","2013-04-24 10:51:20","20.50","57.60"
"1366764686","2013-04-24 10:51:26","20.50","56.10"
"1366764692","2013-04-24 10:51:32","20.50","53.40"
"1366764697","2013-04-24 10:51:37","20.50","52.10"
"1366764703","2013-04-24 10:51:43","20.40","51.30"
"1366764708","2013-04-24 10:51:48","20.40","51.40"
"1366764714","2013-04-24 10:51:54","20.40","51.00"
"1366764719","2013-04-24 10:51:59","20.30","50.20"
"1366764725","2013-04-24 10:52:05","20.30","50.10"
"1366764730","2013-04-24 10:52:10","20.30","50.40"
"1366764736","2013-04-24 10:52:16","20.20","50.60"
"1366764742","2013-04-24 10:52:22","20.20","50.60"
"1366764747","2013-04-24 10:52:27","20.20","51.10"
"1366764753","2013-04-24 10:52:33","20.10","51.40"
"1366764758","2013-04-24 10:52:38","20.10","51.60"
"1366764764","2013-04-24 10:52:44","20.10","51.60"
"1366764769","2013-04-24 10:52:49","20.00","51.50"
"1366764775","2013-04-24 10:52:55","20.00","51.40"
"1366764780","2013-04-24 10:53:00","19.90","51.50"
"1366764786","2013-04-24 10:53:06","19.90","51.90"
"1366764792","2013-04-24 10:53:12","19.90","53.40"
"1366764797","2013-04-24 10:53:17","19.90","53.70"
"1366764803","2013-04-24 10:53:23","19.90","53.30"
"1366764808","2013-04-24 10:53:28","19.90","52.90"
"1366764814","2013-04-24 10:53:34","19.80","54.40"
"1366764819","2013-04-24 10:53:39","19.80","55.10"
